Table,1. State & Type - Wise Number of Universities,,,,,,,,,,,,
State,Central University,Central Open University,Institute of National Importance,Others,State Public University,Institute under State Legislature Act,State Open University,State Private University,State Private Open University,Deemed University-Government,Deemed University-Government Aided,Deemed University-Private,Grand Total
1,2,3,4,5,6,7,8,9,10,11,12,13,14
Andhra Pradesh,0,0,1,1,20,1,0,0,0,1,0,4,28
Arunachal Pradesh,1,0,1,0,0,0,0,5,1,1,0,0,9
Assam,2,0,2,1,11,0,1,4,0,0,0,0,21
Bihar,2,0,3,0,14,1,1,0,0,1,0,0,22
Chandigarh,0,0,1,0,1,0,0,0,0,1,0,0,3
Chhatisgarh,1,0,2,0,11,0,1,7,0,0,0,0,22
Delhi,4,1,4,1,6,0,0,0,0,7,2,1,26
Goa,0,0,1,0,1,0,0,0,0,0,0,0,2
Gujarat,1,0,2,1,28,0,1,22,0,0,1,1,57
Haryana,1,0,1,1,14,0,0,17,0,2,0,3,39
Himachal Pradesh,1,0,2,1,4,0,0,17,0,0,0,0,25
Jammu and Kashmir,2,0,1,0,7,1,0,0,0,0,0,0,11
Jharkhand,1,0,1,0,7,0,0,3,0,1,0,1,14
Karnataka,1,0,1,1,25,0,1,8,0,4,0,11,52
Kerala,1,0,3,1,13,0,0,0,0,2,0,0,20
Madhya Pradesh,2,0,7,0,18,0,1,14,0,1,0,0,43
Maharashtra,1,0,3,0,19,0,1,0,0,7,2,12,45
Manipur,2,0,1,1,0,0,0,0,0,0,0,0,4
Meghalaya,1,0,1,0,0,0,0,8,0,0,0,0,10
Mizoram,1,0,1,0,0,0,0,1,0,0,0,0,3
Nagaland,1,0,1,0,0,0,0,2,0,0,0,0,4
Odisha,1,0,3,0,12,0,0,3,0,0,0,2,21
Puducherry,1,0,2,0,0,0,0,0,0,0,0,1,4
Punjab,1,0,4,0,9,0,0,10,0,1,0,1,26
Rajasthan,1,0,3,1,22,0,1,34,0,0,0,8,70
Sikkim,1,0,1,0,0,0,0,5,0,0,0,0,7
Tamil Nadu,2,0,6,1,20,0,1,0,0,0,2,26,58
Telangana,3,0,2,0,12,1,1,0,0,0,0,2,21
Tripura,1,0,1,0,0,0,0,1,0,0,0,0,3
Uttar Pradesh,4,0,5,1,23,1,1,23,0,2,3,4,67
Uttrakhand,1,0,3,0,9,0,1,11,0,1,1,1,28
West Bengal,1,0,5,1,23,0,1,2,0,0,0,1,34
All India,43,1,75,13,329,5,13,197,1,32,11,79,799
"In UTs of , Andaman & Nicobar Islands,  Dadra & Nagar Haveli, Daman & Diu and Lakshadweep, there are no Universities.",,,,,,,,,,,,,
